date_time,brawler_name,result,current_trophies,trophy_delta,new_winstreak,playstyle_hash,playstyle_name,playstyle_gamemodes,playstyle_brawlers,pyla_version,power_level
2026-09-10T01:18:35.215296,crow,victory,131,,9,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:20:07.638289,crow,victory,131,,10,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:21:54.102178,crow,victory,131,,11,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:24:31.792505,crow,draw,131,,11,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:26:43.821457,crow,victory,216,,12,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:29:10.107380,crow,victory,216,,13,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:31:57.199114,crow,victory,216,,14,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:33:51.699617,crow,defeat,216,,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:34:12.373831,crow,defeat,216,,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:35:46.726456,crow,draw,212,,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:37:30.991249,crow,victory,212,,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:39:10.392149,crow,victory,212,,2,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-10T01:41:20.130612,crow,victory,212,,3,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
